store,dt,opening_stock
G,2024-08-24,221
A,2024-05-16,157
G,2024-07-20,284
A,2025-07-15,368
G,2024-06-13,383
C,2023-08-01,1280
F,2023-08-23,910
D,2024-08-20,321
D,2025-05-06,471
D,2024-07-27,25
E,2025-09-30,485
C,2025-07-24,1018
F,2023-08-13,867
F,2024-03-26,502
C,2024-09-28,852
E,2025-11-16,542
G,2025-09-17,474
E,2025-02-26,491
A,2024-03-26,197
G,2024-08-06,200
D,2024-06-08,60
A,2025-05-21,351
E,2023-11-05,167
E,2024-09-24,347
B,2025-03-16,316
E,2024-07-20,366
E,2025-11-24,612
G,2024-06-08,319
A,2023-10-25,230
B,2025-03-10,251
F,2025-08-18,577
C,2025-02-28,933
C,2024-12-28,824
F,2025-03-11,539
G,2025-03-30,146
A,2025-01-01,574
D,2023-09-14,263
F,2024-09-02,582
G,2025-01-28,184
E,2025-06-28,401
C,2024-01-18,953
E,2024-08-08,365
B,2024-03-02,42
D,2025-11-15,538
E,2025-03-03,474
A,2025-05-20,354
C,2024-01-12,992
B,2023-10-08,161
A,2024-05-12,186
C,2023-07-27,1296
F,2025-01-16,586
C,2024-04-13,805
B,2024-03-07,110
C,2024-09-19,905
D,2025-06-17,554
D,2025-11-02,604
E,2024-08-21,407
D,2024-11-07,457
D,2025-03-27,467
B,2025-02-22,307
D,2024-03-05,199
A,2023-07-21,425
D,2024-10-22,427
B,2023-10-19,88
C,2025-04-06,946
F,2025-07-30,494
G,2024-05-20,321
G,2025-07-07,409
F,2025-09-30,643
D,2024-08-01,97
F,2024-01-12,508
A,2024-12-01,320
A,2023-12-06,148
E,2024-08-28,482
C,2024-01-24,912
G,2025-08-19,277
A,2024-05-13,177
B,2024-01-16,100
D,2024-10-26,412
E,2024-09-10,419
E,2024-11-19,623
E,2024-11-01,425
C,2024-04-23,743
D,2025-01-09,506
A,2025-10-23,585
G,2024-02-23,62
C,2024-10-11,888
E,2024-09-25,345
G,2025-06-02,576
E,2025-06-12,388
A,2024-07-24,465
B,2025-07-05,228
G,2024-07-22,267
E,2024-10-02,413
F,2024-11-28,524
E,2025-06-07,414
D,2024-12-29,444
F,2025-08-25,544
E,2024-08-13,346
D,2024-02-15,181
F,2024-02-23,429
B,2023-10-11,145
D,2025-01-13,478
D,2024-05-07,24
E,2023-11-16,126
G,2025-01-15,261
D,2025-06-23,529
A,2024-10-17,432
D,2024-09-14,515
A,2024-04-14,197
E,2024-05-11,166
F,2024-05-02,409
D,2023-10-25,473
F,2023-08-14,965
F,2025-03-10,542
C,2025-05-25,1011
A,2024-11-30,323
D,2024-11-21,392
D,2024-10-06,408
G,2024-04-04,377
G,2025-06-30,442
D,2025-10-07,419
E,2024-01-09,146
C,2024-01-28,997
D,2024-05-22,40
G,2025-03-11,225
D,2023-11-10,396
A,2024-02-10,115
E,2025-03-16,515
D,2024-04-30,57
G,2024-07-14,215
B,2025-07-17,249
G,2024-01-08,117
B,2024-07-31,397
G,2023-10-12,186
A,2023-10-01,339
B,2023-10-23,73
G,2024-01-17,73
G,2024-09-11,427
D,2024-07-07,23
G,2025-11-29,522
C,2025-02-11,993
B,2025-12-03,55
G,2024-12-15,328
D,2024-11-03,474
F,2025-07-24,527
C,2024-09-29,846
B,2024-07-16,87
B,2023-09-13,211
B,2023-10-01,215
G,2025-07-29,290
A,2024-02-19,67
E,2024-08-05,373
A,2024-06-18,181
G,2023-10-20,236
B,2024-04-18,118
G,2023-11-30,116
D,2024-06-21,98
F,2024-03-15,550
E,2024-02-10,104
G,2024-02-19,81
G,2024-07-26,254
E,2023-11-28,155
D,2024-08-05,185
C,2025-05-20,1026
C,2024-03-07,808
D,2025-09-20,417
E,2025-06-13,388
C,2025-10-25,1234
C,2024-09-23,882
C,2024-06-08,729
G,2025-11-06,657
D,2025-09-04,509
D,2024-03-28,99
F,2023-08-18,944
F,2024-08-23,625
C,2025-05-13,954
B,2025-03-20,295
E,2025-05-24,480
D,2023-10-20,399
G,2023-08-05,289
G,2024-05-29,271
E,2024-12-10,497
E,2024-03-13,176
D,2024-07-21,62
G,2023-07-28,342
A,2025-06-12,316
C,2025-01-31,1038
D,2023-12-14,260
F,2024-11-27,531
A,2024-10-18,422
C,2024-09-30,839
E,2025-01-21,483
F,2024-10-18,536
E,2024-12-29,399
F,2024-01-10,521
E,2024-12-13,483
B,2024-11-18,301
F,2025-05-31,479
D,2024-03-25,113
F,2023-10-21,727
G,2024-11-06,352
G,2025-04-01,139
F,2024-06-15,665
A,2025-02-13,344
G,2025-11-17,596
C,2024-07-14,635
D,2024-07-09,20
E,2025-10-20,503
E,2024-02-22,149
E,2025-07-23,766
A,2024-01-10,168
D,2023-10-12,436
A,2023-10-05,315
E,2025-10-02,479
D,2025-01-26,389
C,2025-06-19,883
E,2023-12-23,19
F,2023-12-05,604
B,2024-01-28,140
B,2024-05-31,124
E,2024-07-03,370
F,2024-01-04,556
A,2025-05-09,408
E,2023-10-12,1
E,2025-08-11,740
G,2024-10-18,239
E,2024-07-26,431
B,2025-11-09,197
F,2025-02-19,616
A,2024-10-10,482
B,2024-04-02,87
D,2025-07-02,499
F,2024-06-28,708
B,2023-12-31,84
C,2024-03-23,818
A,2025-02-11,345
C,2023-10-13,1314
B,2024-02-05,80
C,2024-05-14,747
B,2024-03-26,13
A,2025-09-20,763
D,2023-09-05,217
D,2025-04-17,477
F,2024-08-16,565
F,2024-12-09,477
F,2024-09-15,604
D,2024-03-16,155
A,2025-05-23,347
B,2024-04-11,153
E,2024-02-19,161
C,2024-08-07,924
B,2024-04-10,153
C,2025-10-13,1295
A,2025-03-26,404
E,2024-09-19,364
C,2025-10-07,1321
C,2025-11-19,1076
C,2024-02-29,856
E,2025-01-05,369
F,2025-10-07,602
D,2024-04-07,152
C,2023-10-12,1319
E,2025-07-21,777
A,2025-10-09,669
C,2025-03-26,898
B,2023-11-19,50
B,2024-11-14,315
C,2025-07-11,899
F,2024-02-22,429
A,2025-09-16,786
E,2025-01-02,381
F,2025-11-11,426
C,2024-07-03,583
G,2024-01-10,105
D,2023-10-30,439
A,2024-07-27,445
C,2025-04-14,905
B,2024-10-30,382
G,2025-10-03,501
G,2025-10-17,634
D,2025-10-25,536
B,2023-09-05,60
C,2025-07-29,994
G,2024-03-17,356
G,2023-08-10,261
A,2025-07-17,361
B,2024-02-28,66
C,2023-10-14,1309
E,2024-04-11,145
B,2024-07-18,75
G,2025-06-13,520
E,2024-07-31,399
C,2023-07-31,1282
C,2024-03-22,822
E,2024-08-19,412
G,2024-05-11,366
D,2024-01-11,231
C,2025-09-13,858
E,2024-05-26,497
A,2025-07-29,396
A,2023-11-21,240
G,2024-04-29,309
G,2025-06-19,498
A,2024-09-14,405
E,2023-09-09,66
B,2024-02-25,76
B,2025-06-08,276
G,2025-10-20,625
C,2023-10-29,1238
E,2023-10-11,3
B,2025-09-24,316
B,2025-07-04,234
E,2025-08-27,649
F,2024-02-02,510
G,2025-01-03,325
G,2025-03-19,203
E,2025-01-15,413
C,2025-03-25,900
A,2025-01-18,482
B,2025-02-08,392
E,2024-01-08,151
E,2024-07-07,347
A,2025-12-10,523
E,2024-04-21,186
B,2024-08-18,371
G,2024-02-26,49
F,2025-07-03,532
B,2025-02-19,320
B,2025-01-23,473
F,2024-11-16,506
E,2023-08-26,34
A,2025-03-29,378
B,2024-08-20,365
F,2025-09-23,584
F,2025-09-17,613
F,2025-06-18,605
D,2025-11-23,483
B,2025-01-08,226
F,2023-10-25,705
F,2024-12-17,745
F,2025-12-01,429
G,2025-02-13,198
E,2024-06-05,540
C,2025-09-20,1319
E,2025-11-11,564
D,2024-05-10,109
B,2024-02-08,65
E,2024-01-19,121
E,2023-08-20,59
A,2024-07-29,432
A,2024-02-05,39
E,2024-10-31,434
E,2025-06-09,397
B,2024-03-16,64
C,2025-09-29,1264
G,2025-06-07,546
E,2024-03-04,118
E,2025-10-03,478
A,2025-11-30,463
D,2025-09-19,422
C,2024-11-18,909
G,2023-07-26,350
G,2024-07-09,249
G,2024-02-12,13
G,2024-08-23,225
B,2025-03-25,263
A,2024-11-03,334
D,2023-11-27,339
A,2025-02-02,392
A,2024-11-05,319
B,2023-09-14,204
D,2023-10-22,390
F,2025-04-17,628
G,2023-11-15,89
E,2024-12-17,471
F,2025-08-29,509
B,2025-01-13,203
C,2024-04-03,776
C,2025-10-24,1236
G,2024-05-08,277
E,2025-05-22,494
C,2024-09-01,907
C,2025-11-22,1052
G,2025-01-05,319
B,2025-10-17,307
E,2025-05-03,377
F,2024-06-19,642
C,2025-01-01,803
A,2023-11-26,213
A,2025-07-02,429
F,2024-10-26,602
A,2024-07-23,470
C,2023-12-27,1010
D,2025-12-08,619
D,2023-11-17,367
E,2024-09-21,356
D,2024-11-28,479
D,2025-04-29,516
B,2025-08-01,287
E,2024-06-06,531
F,2025-08-19,575
C,2024-02-03,966
E,2023-10-21,39
G,2024-12-05,290
G,2025-11-01,684
A,2024-04-05,138
G,2023-10-01,227
C,2023-08-02,1279
B,2025-07-08,211
C,2025-02-18,969
F,2024-10-05,607
E,2024-12-09,502
